User-ID;No-Of-Ratings;Age
11676;13602;34.0
198711;7550;62.0
153662;6109;44.0
98391;5891;52.0
35859;5850;34.0
212898;4785;34.0
278418;4533;34.0
76352;3367;58.0
110973;3100;43.0
235105;3067;46.0
230522;2991;52.0
16795;2948;47.0
234623;2674;34.0
36836;2529;56.0
52584;2512;45.0
245963;2507;34.0
204864;2504;47.0
55492;2459;43.0
185233;2448;31.0
171118;2421;47.0
102967;2352;54.0
232131;2347;34.0
227447;2340;38.0
98741;2317;30.0
129358;2317;36.0
60244;2236;47.0
190925;2154;51.0
135149;2100;34.0
231210;2017;44.0
189835;1973;34.0
189334;1924;49.0
69697;1915;24.0
78783;1879;49.0
177458;1819;29.0
172742;1810;44.0
73394;1804;33.0
242824;1747;21.0
269566;1737;9.0
213350;1718;65.0
23768;1708;45.0
238781;1685;51.0
175003;1670;33.0
226545;1623;38.0
36606;1607;39.0
182085;1606;34.0
11601;1571;34.0
148744;1550;67.0
123981;1549;46.0
26544;1535;37.0
43246;1534;36.0
200674;1531;58.0
23902;1503;34.0
274308;1493;33.0
257204;1488;32.0
95359;1476;33.0
166123;1408;32.0
127233;1385;29.0
127429;1382;23.0
162639;1380;34.0
275970;1376;46.0
87141;1365;34.0
172030;1354;30.0
12538;1351;18.0
184299;1349;31.0
238120;1339;25.0
130474;1332;33.0
76626;1331;38.0
236283;1329;41.0
115120;1325;29.0
266226;1314;34.0
93047;1313;52.0
142524;1310;36.0
87555;1292;31.0
254465;1281;22.0
245827;1276;34.0
166596;1258;57.0
51883;1246;31.0
196077;1246;28.0
35050;1221;33.0
265115;1221;34.0
56959;1206;52.0
110029;1206;27.0
228998;1204;41.0
31315;1201;34.0
246655;1177;34.0
271284;1172;50.0
225087;1170;51.0
131402;1163;34.0
56447;1162;22.0
88733;1158;34.0
175886;1158;52.0
40943;1153;40.0
174304;1153;26.0
56399;1129;63.0
251613;1124;34.0
234828;1116;34.0
16634;1115;42.0
158295;1110;34.0
52614;1107;33.0
31556;1104;51.0
