;similar1;similar2;similar3;similar4;similar5
1733;273113.0;126693.0;9908.0;138995.0;250936.0
1903;240035.0;49422.0;127826.0;163202.0;244171.0
2033;88122.0;80555.0;183088.0;203075.0;185176.0
2110;62881.0;251339.0;162590.0;183046.0;180378.0
2891;265083.0;48046.0;8066.0;123056.0;98787.0
7125;41781.0;120908.0;56554.0;242361.0;62862.0
8066;96554.0;242361.0;2891.0;220240.0;43619.0
8253;158254.0;114544.0;48046.0;62862.0;10314.0
8284;269321.0;41781.0;89307.0;98787.0;193898.0
8971;61147.0;230030.0;30810.0;182334.0;87712.0
9417;133296.0;32122.0;8253.0;66942.0;240035.0
9908;32122.0;138995.0;55178.0;134797.0;196738.0
10314;149084.0;141444.0;43910.0;62862.0;8253.0
11629;179730.0;251495.0;176667.0;79942.0;114216.0
13093;202173.0;117111.0;114544.0;273113.0;240403.0
13582;83671.0;133296.0;170415.0;241614.0;41781.0
14232;159440.0;89014.0;90232.0;83109.0;112083.0
14638;117111.0;16155.0;224525.0;133296.0;78448.0
16155;43619.0;37538.0;250936.0;195469.0;110373.0
16943;126296.0;107244.0;127826.0;185176.0;134797.0
18172;178522.0;241614.0;267061.0;88122.0;242073.0
19711;250510.0;81848.0;233711.0;98787.0;170415.0
21364;120908.0;62862.0;158254.0;251140.0;49422.0
23571;193458.0;61901.0;183046.0;83671.0;31919.0
25131;31919.0;151107.0;117111.0;98787.0;170415.0
26883;30273.0;182334.0;56554.0;265083.0;27462.0
27140;242361.0;110076.0;146175.0;185771.0;30273.0
27462;133296.0;250936.0;117111.0;56554.0;30273.0
27788;161974.0;99227.0;259035.0;62862.0;86835.0
28666;166824.0;89307.0;146803.0;244627.0;1733.0
28938;96554.0;110076.0;252865.0;220240.0;98787.0
29915;114544.0;7125.0;62862.0;61901.0;278188.0
30273;159440.0;56554.0;26883.0;136348.0;149084.0
30712;193458.0;8066.0;41781.0;59150.0;56554.0
30810;250330.0;18172.0;173481.0;178522.0;8971.0
30824;170415.0;130438.0;182053.0;166824.0;171970.0
31308;31466.0;259035.0;127129.0;173481.0;141444.0
31466;31308.0;77480.0;278188.0;93426.0;89014.0
31919;45557.0;25131.0;170415.0;117111.0;214244.0
32122;133296.0;123095.0;9908.0;149084.0;33580.0
32627;101606.0;110746.0;48025.0;182053.0;89014.0
33580;32122.0;249924.0;62862.0;128085.0;196738.0
34300;75595.0;273086.0;114544.0;259035.0;89014.0
35407;276018.0;57449.0;214244.0;41227.0;92405.0
36299;83671.0;179730.0;226006.0;149690.0;9417.0
36327;242073.0;30824.0;196466.0;81848.0;86835.0
36554;251495.0;48046.0;79942.0;73923.0;243700.0
36715;59150.0;138198.0;57108.0;171078.0;27788.0
37208;187065.0;161037.0;88122.0;240035.0;183088.0
37538;92861.0;120908.0;192176.0;207721.0;16155.0
37644;241614.0;123095.0;196466.0;32122.0;180378.0
41227;202173.0;35407.0;57449.0;278188.0;87712.0
41781;196985.0;75595.0;273086.0;259378.0;170415.0
43619;62862.0;134247.0;115234.0;173481.0;53220.0
43910;10314.0;145431.0;43619.0;196466.0;273086.0
44845;30273.0;93426.0;130438.0;56554.0;9908.0
45557;31919.0;143163.0;80810.0;242361.0;162590.0
48025;126296.0;75595.0;240035.0;156300.0;161037.0
48046;265083.0;273086.0;8253.0;2891.0;96554.0
49422;183187.0;267061.0;244171.0;88122.0;149084.0
52350;203075.0;2033.0;185176.0;88122.0;183088.0
53220;217318.0;173481.0;193898.0;43619.0;179718.0
54828;278188.0;86189.0;87712.0;88122.0;89014.0
55178;196738.0;9908.0;32122.0;127826.0;21364.0
55493;178522.0;249924.0;114544.0;86835.0;62862.0
55927;149084.0;49422.0;78448.0;68185.0;128085.0
56039;90232.0;137397.0;278188.0;92405.0;87712.0
56554;93426.0;30273.0;27462.0;146803.0;242361.0
57006;9417.0;77480.0;7125.0;94951.0;133296.0
57108;196466.0;36715.0;267249.0;250510.0;80810.0
57449;265083.0;195469.0;273086.0;149690.0;96554.0
58363;190741.0;263325.0;240401.0;112083.0;67663.0
59150;113467.0;62881.0;36715.0;259035.0;96771.0
59189;124489.0;249924.0;182746.0;269321.0;173481.0
61028;62881.0;240035.0;217318.0;193898.0;9417.0
61147;138995.0;8971.0;30824.0;130438.0;169779.0
61901;267249.0;23571.0;67663.0;7125.0;78448.0
62755;190741.0;259901.0;226006.0;127129.0;73923.0
62862;43619.0;114544.0;141444.0;251140.0;123095.0
62881;240035.0;61028.0;59150.0;134797.0;193458.0
64241;204359.0;26883.0;242073.0;36327.0;44845.0
66942;185176.0;8253.0;220240.0;114544.0;32122.0
67547;211344.0;103304.0;126296.0;30273.0;142121.0
67663;136348.0;171970.0;61901.0;110746.0;273086.0
68185;149084.0;115234.0;106007.0;276680.0;55927.0
69721;193458.0;158226.0;30824.0;138995.0;110373.0
70065;158226.0;110373.0;244171.0;252827.0;169779.0
73196;44845.0;201684.0;21364.0;91266.0;87712.0
73923;196466.0;114544.0;263325.0;142121.0;141491.0
75081;263325.0;267061.0;62881.0;265083.0;251140.0
75595;134247.0;107244.0;34300.0;41781.0;196738.0
76483;193458.0;78448.0;101606.0;8253.0;142256.0
77480;273086.0;184513.0;9417.0;133296.0;182746.0
78448;196738.0;55927.0;41781.0;110373.0;138995.0
79942;126296.0;114216.0;99227.0;142121.0;110746.0
80555;2033.0;189139.0;180032.0;243930.0;37538.0
80810;173481.0;273086.0;207721.0;62881.0;110373.0
80908;131126.0;278188.0;92405.0;87712.0;88122.0
81848;88122.0;138995.0;178522.0;19711.0;123095.0
83109;141444.0;183046.0;193898.0;199025.0;242073.0
83671;36299.0;13582.0;138543.0;179730.0;193458.0
86189;244994.0;259035.0;8253.0;151107.0;171970.0
86835;196466.0;170415.0;62862.0;251140.0;240035.0
87712;114544.0;142256.0;233711.0;8253.0;242361.0
88122;183088.0;203075.0;183187.0;185176.0;2033.0
89014;49422.0;151107.0;196466.0;14232.0;141444.0
89307;259625.0;28666.0;251339.0;8284.0;273113.0
90232;273086.0;240035.0;14232.0;129503.0;137397.0
90766;213316.0;165806.0;55178.0;141491.0;200978.0
91266;114216.0;37208.0;227250.0;90766.0;87712.0
92405;273113.0;259035.0;41781.0;73923.0;8066.0
92861;37538.0;89014.0;31919.0;214244.0;88122.0
93426;56554.0;37644.0;44845.0;183046.0;81848.0
94951;158226.0;183046.0;57006.0;225595.0;211344.0
96554;8066.0;273086.0;48046.0;120908.0;265083.0
96771;196738.0;59150.0;141444.0;128085.0;263325.0
97754;171970.0;30273.0;114544.0;16943.0;62862.0
98647;267249.0;53220.0;247055.0;173481.0;166824.0
98787;117111.0;2891.0;114544.0;259035.0;25131.0
99227;27788.0;36715.0;79942.0;138198.0;220240.0
99955;62881.0;55927.0;120908.0;59150.0;43619.0
100578;183046.0;242361.0;127826.0;111578.0;214244.0
101606;32122.0;182053.0;123095.0;32627.0;127826.0
103304;220240.0;161974.0;175052.0;171970.0;141444.0
105108;89014.0;151107.0;154346.0;196466.0;259035.0
105745;243745.0;96554.0;131126.0;278188.0;90766.0
106007;68185.0;211344.0;115234.0;144255.0;67663.0
107244;75595.0;174830.0;202277.0;62881.0;134247.0
108773;173018.0;195469.0;25131.0;98787.0;62862.0
