;similar1;similar2;similar3;similar4;similar5
254;88122.0;203075.0;183088.0;66942.0;226965.0
1733;180917.0;208147.0;189516.0;153718.0;123883.0
1903;59971.0;240035.0;49422.0;127826.0;88937.0
2033;88122.0;201783.0;208141.0;80555.0;183088.0
2110;180917.0;104665.0;250184.0;62881.0;75591.0
2276;247752.0;2033.0;53220.0;232945.0;217318.0
2766;170415.0;260897.0;127129.0;253821.0;264525.0
2891;265083.0;48046.0;180957.0;8066.0;123056.0
2977;76942.0;149690.0;238541.0;124079.0;190459.0
4017;22625.0;114544.0;151107.0;192093.0;8253.0
4385;54218.0;238699.0;156467.0;176667.0;173481.0
6242;85526.0;263325.0;211430.0;4017.0;101305.0
6323;59150.0;236340.0;207499.0;243930.0;128208.0
6543;231237.0;113270.0;64436.0;168144.0;153563.0
6563;224430.0;260897.0;221445.0;10447.0;235935.0
7125;25409.0;235935.0;8067.0;221445.0;6563.0
7158;258938.0;250184.0;43619.0;226006.0;114544.0
7286;198621.0;122429.0;2766.0;273086.0;44728.0
7915;120908.0;100846.0;135831.0;86202.0;259035.0
8066;96554.0;242361.0;96054.0;135831.0;2891.0
8067;7125.0;201674.0;247447.0;187065.0;183046.0
8245;159376.0;135831.0;273086.0;30972.0;7915.0
8253;22625.0;260897.0;158254.0;114544.0;4017.0
8284;269321.0;41781.0;89307.0;98787.0;193898.0
8681;254.0;222296.0;86189.0;211430.0;96554.0
8890;33145.0;90232.0;14232.0;83109.0;125203.0
8936;222941.0;85701.0;247752.0;159440.0;66680.0
8971;135831.0;61147.0;135458.0;230030.0;116122.0
9417;133296.0;107453.0;241980.0;87974.0;32122.0
9856;51094.0;227705.0;142121.0;242361.0;79186.0
9908;180917.0;147141.0;32122.0;16916.0;6563.0
10314;135831.0;30487.0;224430.0;149084.0;229313.0
10447;108005.0;86202.0;6563.0;271448.0;102275.0
10819;183196.0;259380.0;37644.0;131027.0;133689.0
11629;8936.0;247447.0;153718.0;196047.0;179730.0
11993;273979.0;193458.0;229741.0;226965.0;95932.0
12824;162052.0;20201.0;205473.0;28360.0;147141.0
12982;168245.0;76151.0;224138.0;78553.0;235392.0
13082;43806.0;32122.0;149084.0;128208.0;85993.0
13093;202173.0;192093.0;30972.0;139742.0;85426.0
13273;62862.0;193499.0;76151.0;144555.0;196466.0
13582;83671.0;133296.0;170415.0;107453.0;250962.0
