UserId;SimilarUser;Similarity
503;503;1.0
503;7887;0.0759
503;31392;0.0614
503;54884;0.0832
503;266807;0.0748
1548;1548;1.0
1548;80516;0.0944
1548;117925;0.0621
1548;201036;0.0837
6345;6345;1.0
6345;7887;0.0784
6345;63923;0.0596
6345;82673;0.0707
6731;6731;1.0
6731;103811;0.0935
7887;503;0.0759
7887;6345;0.0784
7887;7887;1.0
7887;82673;0.0697
7887;87051;0.0736
7887;182931;0.0799
7887;238246;0.0953
7887;250764;0.0713
7887;276038;0.0649
8801;8801;1.0
8801;55607;0.0411
8801;80516;0.1164
8801;94263;0.1224
8801;98344;0.0709
8801;103811;0.077
8801;108267;0.0722
8801;140196;0.0751
8801;151653;0.0801
8801;214641;0.0884
8801;250764;0.0803
8801;258151;0.0589
9381;9381;1.0
9381;30385;0.0877
9381;140196;0.0583
9381;245311;0.0915
13682;13682;1.0
13682;273465;0.068
13935;13935;1.0
15008;15008;1.0
16244;16244;1.0
16943;16943;1.0
16943;226394;0.0777
16943;246528;0.0529
17596;17596;1.0
17596;64679;0.0967
18464;18464;1.0
20401;20401;1.0
20401;32329;0.0392
20401;86123;0.0317
20401;136747;0.0396
20401;140423;0.0219
20401;183963;0.0073
20401;258151;0.021
20401;262407;0.0145
22461;22461;1.0
22495;22495;1.0
22495;23652;0.115
22495;144828;0.0467
23652;22495;0.115
23652;23652;1.0
23652;44389;0.0836
23652;55607;0.0929
23652;73022;0.1138
23652;80203;0.0464
23652;123543;0.08
23652;188799;0.0318
23652;258151;0.0585
24778;24778;1.0
24778;173018;0.0556
25410;25410;1.0
25410;25966;0.0579
25410;26598;0.0403
25410;30385;0.073
25410;32329;0.0576
25410;64679;0.0535
25410;65191;0.0941
25410;80203;0.0619
25410;187397;0.0542
25930;25930;1.0
25930;159977;0.051
25930;174683;0.0787
25966;25410;0.0579
25966;25966;1.0
25966;72100;0.0658
25966;80203;0.0755
25966;154975;0.075
25966;187397;0.0596
25966;242544;0.1168
25966;253797;0.0614
26122;26122;1.0
26598;25410;0.0403
26598;26598;1.0
26598;64679;0.0313
26598;72100;0.0534
26598;103811;0.0872
26598;144828;0.0676
26598;229742;0.0681
26598;236399;0.0841
26598;242878;0.0726
26598;249732;0.0536
28820;28820;1.0
30385;9381;0.0877
30385;25410;0.073
30385;30385;1.0
30385;80203;0.0519
30385;172119;0.0619
31392;503;0.0614
31392;31392;1.0
31950;31950;1.0
31950;112765;0.0848
31950;167556;0.0506
31950;276038;0.0852
32329;20401;0.0392
32329;25410;0.0576
32329;32329;1.0
32329;86123;0.0286
32329;121135;0.0679
32329;124048;0.0848
32329;136747;0.0357
32329;140423;0.0197
32329;151653;0.1362
32329;183963;0.0066
32329;245311;0.1412
32329;258151;0.0189
32329;262407;0.0131
32964;32964;1.0
32964;68886;0.092
34087;34087;1.0
34087;49314;0.0616
34087;68886;0.061
34215;34215;1.0
34215;151790;0.0659
34215;169054;0.0722
34987;34987;1.0
34987;88187;0.1124
34987;143427;0.0577
34987;188799;0.0756
34987;226462;0.0664
39441;39441;1.0
39441;44837;0.0631
39441;100393;0.0472
39441;159977;0.094
40559;40559;1.0
44389;23652;0.0836
44389;44389;1.0
44389;80203;0.0545
44837;39441;0.0631
44837;44837;1.0
44837;91761;0.0924
44837;226462;0.0183
47512;47512;1.0
47512;81045;0.0666
47512;116816;0.033
47512;125514;0.0391
47512;170792;0.1415
47512;238246;0.0571
49314;34087;0.0616
49314;49314;1.0
49314;67288;0.0267
49314;127049;0.0723
49314;138202;0.0471
49314;245311;0.0466
49314;258151;0.0585
49314;259430;0.0293
50526;50526;1.0
50526;82808;0.0793
50526;236399;0.0811
51826;51826;1.0
51826;154346;0.0413
51826;257625;0.0254
52441;52441;1.0
52441;160200;0.0659
54884;503;0.0832
54884;54884;1.0
54884;55607;0.0685
54884;73022;0.0699
54884;87051;0.0439
54884;94263;0.0709
54884;100393;0.0593
54884;111241;0.0661
54884;112765;0.062
54884;151002;0.0845
54884;188799;0.0501
54884;250764;0.0586
55607;8801;0.0411
55607;23652;0.0929
55607;54884;0.0685
55607;55607;1.0
55607;56157;0.0651
55607;73022;0.1616
55607;94263;0.0431
55607;100393;0.0893
55607;116816;0.0665
55607;123543;0.0774
55607;154975;0.0866
55607;227054;0.0784
55607;241597;0.0808
55607;258151;0.0503
55607;259430;0.1082
55607;266807;0.0821
56157;55607;0.0651
56157;56157;1.0
56157;159977;0.0552
56157;250764;0.0727
57354;57354;1.0
58168;58168;1.0
58168;276994;0.0764
60809;60809;1.0
60809;82171;0.0777
63665;63665;1.0
63665;197000;0.0552
63923;6345;0.0596
63923;63923;1.0
63923;110317;0.0468
64679;17596;0.0967
64679;25410;0.0535
64679;26598;0.0313
64679;64679;1.0
64679;91761;0.0371
64679;201036;0.0605
64679;218875;0.0552
64679;229742;0.0566
65191;25410;0.0941
65191;65191;1.0
67288;49314;0.0267
67288;67288;1.0
67288;124048;0.0814
67288;245311;0.0617
67288;259430;0.0388
67958;67958;1.0
68886;32964;0.092
68886;34087;0.061
68886;68886;1.0
68886;246528;0.0666
68886;258151;0.0504
70014;70014;1.0
70014;88187;0.0635
70014;121135;0.0729
70014;152696;0.0821
70014;156243;0.0899
70318;70318;1.0
70318;80203;0.0694
70318;169770;0.0664
71897;71897;1.0
71897;125514;0.0925
72100;25966;0.0658
72100;26598;0.0534
72100;72100;1.0
72100;80516;0.0805
72100;87051;0.0795
72100;88187;0.0833
72100;91761;0.0657
72100;103811;0.076
72100;116582;0.0763
72100;144828;0.0474
72100;242878;0.0508
72100;259430;0.0399
73022;23652;0.1138
73022;54884;0.0699
73022;55607;0.1616
73022;73022;1.0
73022;123543;0.0948
73022;252657;0.0589
75335;75335;1.0
75429;75429;1.0
75429;140423;0.0523
75429;151790;0.0497
75429;275306;0.1053
80203;23652;0.0464
80203;25410;0.0619
80203;25966;0.0755
80203;30385;0.0519
80203;44389;0.0545
80203;70318;0.0694
80203;80203;1.0
80203;112765;0.0557
80203;145161;0.0669
80203;154975;0.089
80203;169770;0.0859
80203;260840;0.0667
80516;1548;0.0944
80516;8801;0.1164
80516;72100;0.0805
80516;80516;1.0
80516;88187;0.0915
80516;91761;0.0721
80516;116582;0.0838
80516;151653;0.095
80516;201036;0.0992
80516;214641;0.1049
80516;226462;0.0751
81045;47512;0.0666
81045;81045;1.0
81045;111241;0.0509
81045;121592;0.0553
81045;130792;0.0685
81045;193350;0.0744
82171;60809;0.0777
82171;82171;1.0
82673;6345;0.0707
82673;7887;0.0697
82673;82673;1.0
82673;93085;0.0868
82673;212260;0.0586
82673;230293;0.076
82808;50526;0.0793
82808;82808;1.0
82808;275306;0.0494
82955;82955;1.0
82955;152696;0.0631
82955;212260;0.0441
82955;230496;0.0425
83880;83880;1.0
85240;85240;1.0
85616;85616;1.0
85616;213708;0.0501
85616;241597;0.0358
86123;20401;0.0317
86123;32329;0.0286
86123;86123;1.0
86123;94263;0.0611
86123;108267;0.034
86123;127049;0.0429
86123;136747;0.0288
86123;140423;0.0159
86123;183963;0.0053
86123;213708;0.0764
86123;229742;0.0656
86123;230293;0.0616
86123;236399;0.0809
86123;258151;0.0153
86123;262407;0.0106
87051;7887;0.0736
87051;54884;0.0439
87051;72100;0.0795
87051;87051;1.0
87051;103811;0.0826
87051;238246;0.0906
87051;276038;0.0618
88187;34987;0.1124
88187;70014;0.0635
88187;72100;0.0833
88187;80516;0.0915
88187;88187;1.0
88187;91761;0.0747
88187;116582;0.0868
88187;121135;0.0658
88187;182506;0.0744
88187;188799;0.0787
91633;91633;1.0
91719;91719;1.0
91761;44837;0.0924
91761;64679;0.0371
91761;72100;0.0657
91761;80516;0.0721
91761;88187;0.0747
91761;91761;1.0
91761;116582;0.0684
91761;172119;0.0759
91761;201036;0.054
91761;218875;0.0493
93085;82673;0.0868
93085;93085;1.0
93085;111241;0.0751
93085;184632;0.0555
93085;246216;0.0695
94263;8801;0.1224
94263;54884;0.0709
94263;55607;0.0431
94263;86123;0.0611
94263;94263;1.0
94263;98344;0.0812
94263;111241;0.0623
94263;127049;0.0371
94263;213708;0.0661
94263;229742;0.0567
94263;258151;0.0617
94263;275306;0.0909
96521;96521;1.0
96521;105572;0.1086
96521;125514;0.0672
96521;127049;0.0833
96521;145161;0.0788
96521;191881;0.1172
96521;233738;0.0822
98344;8801;0.0709
98344;94263;0.0812
98344;98344;1.0
98344;198547;0.1141
100393;39441;0.0472
100393;54884;0.0593
100393;55607;0.0893
100393;100393;1.0
100393;116816;0.0862
100393;138202;0.0483
100393;152696;0.0376
100393;154975;0.1124
100393;226554;0.0547
100393;238246;0.0666
100393;241597;0.1049
100393;259430;0.1404
100519;100519;1.0
103811;6731;0.0935
103811;8801;0.077
103811;26598;0.0872
103811;72100;0.076
103811;87051;0.0826
103811;103811;1.0
103811;127049;0.0545
103811;140196;0.0589
103811;148863;0.0647
103811;229742;0.078
103811;236399;0.0963
103811;249732;0.0614
105572;96521;0.1086
105572;105572;1.0
105572;125514;0.0702
105572;127049;0.0871
105572;145161;0.0823
105572;191881;0.1224
105572;231374;0.0809
108267;8801;0.0722
108267;86123;0.034
108267;108267;1.0
108267;230293;0.0297
108267;236399;0.039
108267;241597;0.0666
110317;63923;0.0468
110317;110317;1.0
110317;116816;0.0773
111241;54884;0.0661
111241;81045;0.0509
111241;93085;0.0751
111241;94263;0.0623
111241;111241;1.0
111241;246216;0.089
112109;112109;1.0
112765;31950;0.0848
112765;54884;0.062
112765;80203;0.0557
112765;112765;1.0
112765;145161;0.0649
112765;167556;0.0503
112765;276038;0.0848
116582;72100;0.0763
116582;80516;0.0838
116582;88187;0.0868
116582;91761;0.0684
116582;116582;1.0
116582;229742;0.0783
116816;47512;0.033
116816;55607;0.0665
116816;100393;0.0862
116816;110317;0.0773
116816;116816;1.0
116816;117925;0.0796
116816;154975;0.0837
116816;170792;0.0327
116816;238246;0.0434
116816;241597;0.0781
116816;259430;0.1045
117210;117210;1.0
117925;1548;0.0621
117925;116816;0.0796
117925;117925;1.0
117925;167556;0.0174
117925;188799;0.1033
120829;120829;1.0
