UserId;SimilarUser;Similarity
254;254;1.0
254;2033;0.0528
254;2891;0.0198
254;2977;0.0168
254;4017;0.0105
254;6543;0.0131
254;6563;0.0037
254;8066;0.026
254;8245;0.014
254;8253;0.0457
254;8681;0.052
254;9856;0.052
254;9908;0.043
254;12824;0.0292
254;13273;0.0178
254;13850;0.0127
254;14232;0.0263
254;14422;0.0143
254;17950;0.0132
254;21252;0.0264
254;21576;0.0176
254;22625;0.0446
254;23571;0.0137
254;25409;0.0118
254;26883;0.0222
254;27140;0.0317
254;28523;0.0456
254;30273;0.0483
254;30487;0.0133
254;30735;0.0762
254;32440;0.0158
254;33580;0.0245
254;36907;0.0501
254;37208;0.0309
254;37644;0.0106
254;37712;0.0117
254;39281;0.0137
254;39467;0.0159
254;39616;0.0341
254;47316;0.0175
254;48494;0.0133
254;49460;0.0304
254;52350;0.0596
254;55178;0.0225
254;55490;0.0282
254;56554;0.0251
254;59727;0.0196
254;60337;0.0109
254;60707;0.0391
254;61147;0.0143
254;61901;0.0143
254;64436;0.0187
254;66942;0.1
254;67547;0.0184
254;67840;0.0072
254;69721;0.0238
254;70415;0.0114
254;73681;0.0678
254;73923;0.0182
254;75591;0.011
254;75860;0.0299
254;76223;0.0411
254;76483;0.0221
254;77809;0.0077
254;78553;0.0404
254;79186;0.0783
254;80538;0.0193
254;80683;0.0269
254;81560;0.0105
254;83637;0.0157
254;85426;0.0202
254;85526;0.0168
254;85993;0.0592
254;86189;0.0113
254;87712;0.0545
254;88122;0.1192
254;89014;0.0315
254;91342;0.0153
254;92405;0.0225
254;94951;0.0168
254;95932;0.0124
254;96054;0.0376
254;96554;0.0278
254;97754;0.0091
254;100459;0.0253
254;100578;0.0205
254;100846;0.0151
254;101305;0.0124
254;101606;0.0151
254;101876;0.0277
254;102647;0.0226
254;102702;0.0329
254;104399;0.0251
254;104665;0.0174
254;105374;0.0113
254;105517;0.0186
254;106007;0.0135
254;109574;0.0069
254;109901;0.0148
254;110934;0.0341
254;111578;0.0188
254;112083;0.0435
254;114178;0.0056
254;114544;0.018
254;115003;0.0082
254;116122;0.006
254;123790;0.0308
254;123883;0.0062
254;124078;0.0188
254;124079;0.0274
254;124363;0.0263
254;124597;0.0143
254;126492;0.0203
254;126604;0.0146
254;130554;0.0415
254;131126;0.0159
254;133296;0.0189
254;133571;0.0182
254;133689;0.0351
254;135458;0.0297
254;135831;0.0321
254;136252;0.0226
254;136348;0.0143
254;136382;0.0179
254;137589;0.0161
254;138097;0.0246
254;138543;0.0149
254;138578;0.0125
254;138995;0.0257
254;140358;0.0281
254;141491;0.0303
254;141819;0.0154
254;142121;0.0197
254;146175;0.0257
254;146230;0.0188
254;146803;0.0154
254;147141;0.0496
254;148199;0.011
254;149934;0.0243
254;151589;0.0255
254;152186;0.0124
254;153718;0.0175
254;154176;0.0514
254;155014;0.0116
254;157247;0.0112
254;158226;0.0387
254;159858;0.0267
254;160295;0.0252
254;163570;0.0148
254;163759;0.0067
254;163804;0.0138
254;164323;0.0196
254;164533;0.0158
254;164828;0.009
254;165308;0.0155
254;165319;0.0213
254;166922;0.0126
254;168047;0.0486
254;170513;0.0942
254;170634;0.0611
254;172512;0.0471
254;173684;0.05
254;174216;0.0164
254;177374;0.0379
254;177432;0.0282
254;178199;0.0193
254;178522;0.0088
254;178667;0.0348
254;179772;0.0182
254;179978;0.0477
254;180348;0.0184
254;182086;0.009
254;182993;0.012
254;183088;0.1092
254;185176;0.0783
254;187256;0.0166
254;190459;0.0266
254;190741;0.0087
254;192093;0.0225
254;193458;0.0276
254;193499;0.034
254;195469;0.0219
254;196160;0.0115
254;196502;0.0141
254;196738;0.0196
254;198012;0.0161
254;201290;0.0344
254;201684;0.0159
254;201783;0.0718
254;203075;0.1187
254;204359;0.0145
254;205473;0.0154
254;206074;0.0082
254;208141;0.076
254;208406;0.0347
254;208671;0.0143
254;208829;0.0191
254;211430;0.0234
254;211919;0.015
254;214786;0.0116
254;216466;0.0236
254;216683;0.0094
254;218552;0.0088
254;218608;0.011
254;219683;0.0203
