UserId;SimilarUser;Similarity
503;503;1.0
503;6577;0.0958
503;7887;0.0759
503;31392;0.0614
503;36938;0.0768
503;54884;0.0832
503;266331;0.0871
503;266807;0.0748
1548;1548;1.0
1548;80516;0.0944
1548;117925;0.0621
1548;198781;0.0667
1548;201036;0.0837
2103;2103;1.0
6345;6345;1.0
6345;7887;0.0784
6345;63923;0.0596
6345;82673;0.0707
6577;503;0.0958
6577;6577;1.0
6577;54884;0.1069
6577;120082;0.079
6577;169310;0.0797
6577;176256;0.0604
6577;246216;0.1019
6577;259078;0.1113
6731;6731;1.0
6731;103811;0.0935
7887;503;0.0759
7887;6345;0.0784
7887;7887;1.0
7887;82673;0.0697
7887;87051;0.0736
7887;182931;0.0799
7887;238246;0.0953
7887;250764;0.0713
7887;266331;0.0887
7887;276038;0.0649
8801;8801;1.0
8801;32516;0.133
8801;55607;0.0411
8801;80516;0.1164
8801;94263;0.1224
8801;98344;0.0709
8801;103811;0.077
8801;108267;0.0722
8801;140196;0.0751
8801;151653;0.0801
8801;214641;0.0884
8801;250764;0.0803
8801;258151;0.0589
8801;265620;0.0745
9381;9381;1.0
9381;30385;0.0877
9381;140196;0.0583
9381;245311;0.0915
12990;12990;1.0
12990;82673;0.0426
12990;263321;0.0611
13682;13682;1.0
13682;273465;0.068
13935;13935;1.0
15008;15008;1.0
16244;16244;1.0
16943;16943;1.0
16943;226394;0.0777
16943;246528;0.0529
17596;17596;1.0
17596;27573;0.061
17596;64679;0.0967
17596;116428;0.0912
18464;18464;1.0
19220;19220;1.0
20401;20401;1.0
20401;32329;0.0392
20401;86123;0.0317
20401;136747;0.0396
20401;140423;0.0219
20401;183963;0.0073
20401;237064;0.0544
20401;258151;0.021
20401;262407;0.0145
22461;22461;1.0
22495;22495;1.0
22495;23652;0.115
22495;144828;0.0467
22495;242118;0.05
23652;22495;0.115
23652;23652;1.0
23652;44389;0.0836
23652;52159;0.0868
23652;55607;0.0929
23652;73022;0.1138
23652;80203;0.0464
23652;123543;0.08
23652;170522;0.0418
23652;188799;0.0318
23652;258151;0.0585
24768;24768;1.0
24778;24778;1.0
24778;173018;0.0556
25410;25410;1.0
25410;25966;0.0579
25410;26598;0.0403
25410;30385;0.073
25410;32329;0.0576
25410;64679;0.0535
25410;65191;0.0941
25410;80203;0.0619
25410;187397;0.0542
25410;263321;0.0562
25930;25930;1.0
25930;159977;0.051
25930;174683;0.0787
25966;25410;0.0579
25966;25966;1.0
25966;72100;0.0658
25966;80203;0.0755
25966;154975;0.075
25966;187397;0.0596
25966;242544;0.1168
25966;253797;0.0614
25966;263321;0.0617
26122;26122;1.0
26598;25410;0.0403
26598;26598;1.0
26598;37989;0.0728
26598;64679;0.0313
26598;72100;0.0534
26598;103811;0.0872
26598;144828;0.0676
26598;154126;0.0885
26598;229742;0.0681
26598;236399;0.0841
26598;242878;0.0726
26598;249732;0.0536
26598;265205;0.0954
27573;17596;0.061
27573;27573;1.0
27573;34215;0.0849
27573;52441;0.0972
27573;160200;0.0644
28820;28820;1.0
29306;29306;1.0
29306;49314;0.033
29306;172700;0.0762
30385;9381;0.0877
30385;25410;0.073
30385;30385;1.0
30385;80203;0.0519
30385;172119;0.0619
31392;503;0.0614
31392;31392;1.0
31950;31950;1.0
31950;45416;0.0725
31950;112765;0.0848
31950;167556;0.0506
31950;276038;0.0852
32329;20401;0.0392
32329;25410;0.0576
32329;32329;1.0
32329;52159;0.0768
32329;86123;0.0286
32329;121135;0.0679
32329;124048;0.0848
32329;136747;0.0357
32329;140423;0.0197
32329;151653;0.1362
32329;183963;0.0066
32329;237064;0.1307
32329;245311;0.1412
32329;258151;0.0189
32329;262407;0.0131
32516;8801;0.133
32516;32516;1.0
32516;33200;0.0543
32516;55607;0.0436
32516;80516;0.0973
32516;94263;0.0535
32516;151653;0.0669
32516;176256;0.0894
32516;214641;0.0739
32516;258151;0.0625
32516;265620;0.079
32964;32964;1.0
32964;68886;0.092
32964;127190;0.0682
33200;32516;0.0543
33200;33200;1.0
33200;40617;0.0172
33200;40888;0.087
33200;136747;0.0911
34087;34087;1.0
34087;40888;0.0562
34087;49314;0.0616
34087;68886;0.061
34087;169057;0.0646
34087;189066;0.0576
34087;259078;0.0688
34215;27573;0.0849
34215;34215;1.0
34215;151790;0.0659
34215;169054;0.0722
34215;276822;0.0556
34566;34566;1.0
34987;34987;1.0
34987;88187;0.1124
34987;143427;0.0577
34987;188799;0.0756
34987;226462;0.0664
36938;503;0.0768
36938;36938;1.0
36938;75429;0.0935
36938;91761;0.0682
36938;103811;0.0632
36938;172119;0.0563
36938;201036;0.0649
36938;266807;0.077
36938;275306;0.089
37989;26598;0.0728
37989;37989;1.0
37989;51826;0.077
37989;54884;0.0625
37989;88187;0.0631
37989;103811;0.0833
37989;154126;0.0845
37989;169054;0.0171
37989;182506;0.082
37989;229742;0.0651
37989;236399;0.0803
37989;249732;0.0512
37989;250764;0.0394
37989;265205;0.0911
39441;39441;1.0
39441;44837;0.0631
39441;45416;0.065
39441;100393;0.0472
39441;159977;0.094
39441;192185;0.086
39441;237064;0.0809
40559;40559;1.0
40559;199431;0.0688
40617;33200;0.0172
40617;40617;1.0
40617;120829;0.0525
40888;33200;0.087
40888;34087;0.0562
40888;40888;1.0
40888;49314;0.0737
40888;169057;0.0772
40888;237064;0.0469
40888;270339;0.059
44389;23652;0.0836
44389;44389;1.0
44389;80203;0.0545
44837;39441;0.0631
44837;44837;1.0
44837;45416;0.0757
44837;91761;0.0924
44837;192185;0.0219
44837;226462;0.0183
45383;45383;1.0
45383;54884;0.0971
45383;55607;0.0716
45383;72100;0.0431
45383;73022;0.0731
45383;80516;0.0473
45383;88187;0.049
45383;91761;0.0386
45383;116582;0.0449
45383;172119;0.0342
45383;221186;0.0983
45416;31950;0.0725
45416;39441;0.065
45416;44837;0.0757
45416;45416;1.0
45416;49314;0.0298
45416;127049;0.0348
45416;146421;0.0447
45416;205145;0.0888
45416;266331;0.0713
47512;47512;1.0
47512;81045;0.0666
47512;116816;0.033
47512;125514;0.0391
47512;166856;0.1148
47512;170792;0.1415
47512;238246;0.0571
49314;29306;0.033
49314;34087;0.0616
49314;40888;0.0737
49314;45416;0.0298
49314;49314;1.0
49314;67288;0.0267
49314;127049;0.0723
49314;129373;0.0411
49314;138202;0.0471
49314;169057;0.0847
49314;237064;0.0324
49314;245311;0.0466
49314;258151;0.0585
49314;259430;0.0293
50526;50526;1.0
50526;82808;0.0793
50526;236399;0.0811
51826;37989;0.077
51826;51826;1.0
51826;154346;0.0413
51826;257625;0.0254
52159;23652;0.0868
52159;32329;0.0768
52159;52159;1.0
52159;54884;0.048
52159;55607;0.0839
52159;67288;0.0948
52159;73022;0.1027
52159;94263;0.0452
52159;111241;0.0422
52159;123543;0.0723
52159;124048;0.1514
52159;125514;0.0778
52159;152696;0.0867
52159;188799;0.0345
52159;193350;0.0679
52159;237064;0.0638
52159;253482;0.0475
52159;267642;0.0994
52441;27573;0.0972
52441;52441;1.0
52441;160200;0.0659
54884;503;0.0832
54884;6577;0.1069
54884;37989;0.0625
54884;45383;0.0971
54884;52159;0.048
54884;54884;1.0
54884;55607;0.0685
54884;73022;0.0699
54884;87051;0.0439
54884;94263;0.0709
54884;100393;0.0593
54884;111241;0.0661
54884;112765;0.062
54884;151002;0.0845
54884;188799;0.0501
54884;250764;0.0586
54884;259078;0.0619
55607;8801;0.0411
55607;23652;0.0929
55607;32516;0.0436
55607;45383;0.0716
55607;52159;0.0839
55607;54884;0.0685
55607;55607;1.0
